ID,DisplayName_lang,HordeDisplayName_lang
2503,Ingenieurskunst des Kataklysmus,
2504,Ingenieurskunst von Nordend,
2505,Ingenieurskunst der Scherbenwelt,
2506,Ingenieurskunst,
2507,Inschriftenkunde von Kul Tiras,Inschriftenkunde von Zandalar
2508,Inschriftenkunde der Verheerten Inseln,
2509,Inschriftenkunde von Draenor,
2510,Inschriftenkunde von Pandaria,
2511,Inschriftenkunde des Kataklysmus,
2512,Inschriftenkunde von Nordend,
2513,Inschriftenkunde der Scherbenwelt,
2514,Inschriftenkunde,
2517,Juwelierskunst von Kul Tiras,Juwelierskunst von Zandalar
2518,Juwelierskunst der Verheerten Inseln,
2519,Juwelierskunst von Draenor,
2520,Juwelierskunst von Pandaria,
2521,Juwelierskunst des Kataklysmus,
2522,Juwelierskunst von Nordend,
2523,Juwelierskunst der Scherbenwelt,
2524,Juwelierskunst,
2525,Lederverarbeitung von Kul Tiras,Lederverarbeitung von Zandalar
2526,Lederverarbeitung der Verheerten Inseln,
2527,Lederverarbeitung von Draenor,
2528,Lederverarbeitung von Pandaria,
2529,Lederverarbeitung des Kataklysmus,
2530,Lederverarbeitung von Nordend,
2531,Lederverarbeitung der Scherbenwelt,
2532,Lederverarbeitung,
2533,Schneiderei von Kul Tiras,Schneiderei von Zandalar
2534,Schneiderei der Verheerten Inseln,
2535,Schneiderei von Draenor,
2536,Schneiderei von Pandaria,
2537,Schneiderei des Kataklysmus,
2538,Schneiderei von Nordend,
2539,Schneiderei der Scherbenwelt,
2540,Schneiderei,
2541,Kochkunst von Kul Tiras,Kochkunst von Zandalar
2542,Kochkunst der Verheerten Inseln,
2543,Kochkunst von Draenor,
2544,Kochkunst von Pandaria,
2545,Kochkunst des Kataklysmus,
2546,Kochkunst von Nordend,
2547,Kochkunst der Scherbenwelt,
2548,Kochkunst,
2549,Kräuterkunde von Kul Tiras,Kräuterkunde von Zandalar
2550,Kräuterkunde der Verheerten Inseln,
2551,Kräuterkunde von Draenor,
2552,Kräuterkunde von Pandaria,
2553,Kräuterkunde des Kataklysmus,
2554,Kräuterkunde von Nordend,
2555,Kräuterkunde der Scherbenwelt,
2556,Kräuterkunde,
2557,Kürschnerei von Kul Tiras,Kürschnerei von Zandalar
2558,Kürschnerei der Verheerten Inseln,
2559,Kürschnerei von Draenor,
2560,Kürschnerei von Pandaria,
2561,Kürschnerei des Kataklysmus,
2562,Kürschnerei von Nordend,
2563,Kürschnerei der Scherbenwelt,
2564,Kürschnerei,
2565,Bergbau von Kul Tiras,Bergbau von Zandalar
2566,Bergbau der Verheerten Inseln,
2567,Bergbau von Draenor,
2568,Bergbau von Pandaria,
2569,Bergbau des Kataklysmus,
2570,Bergbau von Nordend,
2571,Bergbau der Scherbenwelt,
2572,Bergbau,
2585,Angeln von Kul Tiras,Angeln von Zandalar
2586,Angeln der Verheerten Inseln,
2587,Angeln von Draenor,
2588,Angeln von Pandaria,
2589,Angeln des Kataklysmus,
2590,Angeln von Nordend,
2591,Angeln der Scherbenwelt,
2592,Angeln,
2597,Volksfähigkeit - Dunkeleisenzwerge,
2598,Volksfähigkeit - Mag'har,
2703,Begleiter - Echse,
2704,Begleiter - Pferd,
2705,Begleiter - Exotischer Pterrordax,
2706,Begleiter - Kröte,
2707,Begleiter - Exotischer Carapid,
2716,Zweites Tier - Jäger,
2719,Pet - Blood Beast,
2720,Schrottplatztüfteleien,
2721,Volksfähigkeit - Zandalari,
2723,Volksfähigkeit - Kul Tiraner,
2727,Alle Klassen,
2730,Kyrianer,
2731,Venthyr,
2732,Nachtfae,
2733,Nekrolords,
2734,Reittierausrüstung,
2750,Alchemie der Schattenlande,
2751,Schmiedekunst der Schattenlande,
2752,Kochkunst der Schattenlande,
2753,Verzauberkunst der Schattenlande,
2754,Angeln der Schattenlande,
2755,Ingenieurskunst der Schattenlande,
2756,Inschriftenkunde der Schattenlande,
2757,Juwelierskunst der Schattenlande,
2758,Lederverarbeitung der Schattenlande,
2759,Schneiderei der Schattenlande,
2760,Kräuterkunde der Schattenlande,
2761,Bergbau der Schattenlande,
2762,Kürschnerei der Schattenlande,
2773,Volksfähigkeit - Dunkeleisenzwerge,
2774,Volksfähigkeit - Mechagnome,
2775,Volksfähigkeit - Vulpera,
2776,Sprache: Vulpera,
2777,Seelenchiffrierung,
2787,Monstrositätenflickerei,
2791,Aufstiegshandwerk,
2805,Begleiter - Mammut,
2806,Begleiter - Renner,
2807,Begleiter - Kamel,
2811,Stygiahandwerk,
