ID,Directory,MapName_lang,MapDescription0_lang,MapDescription1_lang,PvpShortDescription_lang,PvpLongDescription_lang,Corpse[0],Corpse[1],MapType,InstanceType,ExpansionID,AreaTableID,LoadingScreenID,TimeOfDayOverride,ParentMapID,CosmeticParentMapID,TimeOffset,MinimapIconScale,CorpseMapID,MaxPlayers,WindSettingsID,ZmpFileDataID,WdtFileDataID,NavigationMaxDistance,Flags[0],Flags[1],Flags[2]
489,PVPZone03,Classic Warsong Gulch,"A valley Bordering Ashenvale Forest and the Barrens, Warsong Gulch hosts a constant battle between the Horde and Alliance.

As a 10 vs 10 capture-the-flag battleground, the first faction to capture three flags is victorious.

Eager to aid their allies, members of every race in Azeroth rush to the Gulch to lend sword, or spell, to the conflict.","A valley Bordering Ashenvale Forest and the Barrens, Warsong Gulch hosts a constant battle between the Horde and Alliance.

As a 10 vs 10 capture-the-flag battleground, the first faction to capture three flags is victorious.

Eager to aid their allies, members of every race in Azeroth rush to the Gulch to lend sword, or spell, to the conflict.",Capture the enemy flag,"- Defend your flag
- Capture the enemy flag
- Most recent capture wins",0,0,1,3,0,3277,122,-1,-1,-1,0,1,-1,0,0,0,790291,0,1553,135004160,0
509,AhnQiraj,Ruins of Ahn'Qiraj,,,,,-8114.4644,1526.3657,1,2,0,3429,184,-1,-1,-1,0,1,1,20,0,0,775637,0,1553,134479880,0
529,PVPZone04,Classic Arathi Basin,"The Arathi Basin is one of the main staging points of war between the humans and the Forsaken in Azeroth.

Arathi Basin is a 15 vs 15 domination battleground, where each side attempts to control the Stables, Blacksmith, Mine, Lumbermill and Farm for as long as possible.

The Defilers' elite troopers seek to sever the vital connection between the humans and their dwarven allies to the south.

Meanwhile, the League of Arathor seek to reclaim lost lands for their benefactors in Stormwind.","The Arathi Basin is one of the main staging points of war between the humans and the Forsaken in Azeroth.

Arathi Basin is a 15 vs 15 domination battleground, where each side attempts to control the Stables, Blacksmith, Mine, Lumbermill and Farm for as long as possible.

The League of Arathor seek to reclaim lost lands for their benefactors in Stormwind.

Meanwhile, the Defilers' elite troopers seek to sever the vital connection between the humans and their dwarven allies to the south.",Capture the objectives,"- Capture and hold the objectives
- Earn 1500 resources",0,0,1,3,0,3358,183,-1,-1,-1,0,1.25,-1,0,0,0,790377,0,1553,135004160,0
530,Expansion01,Outland,,,,,0,0,1,0,1,0,198,-1,-1,-1,0,1,-1,0,0,804943,828395,0,1553,134479880,0
531,AhnQirajTemple,Ahn'Qiraj Temple,,,,,-8111.724,1526.7858,1,2,0,3428,185,-1,-1,-1,0,1,1,40,0,0,775840,0,1553,134479880,0
532,Karazahn,Karazhan,,,,,-11110.407,-2004.0653,1,2,1,3457,200,-1,-1,-1,0,1,0,10,0,0,834192,0,1553,134479880,0
533,Stratholme Raid,Naxxramas,,,,,0,0,1,2,2,3456,197,-1,-1,-1,0,1,-1,25,0,0,827115,0,34321,134479880,0
534,HyjalPast,The Battle for Mount Hyjal,,,,,-8178.508,-4182.0503,1,2,1,616,212,-1,-1,-1,0,1,1,25,0,0,831824,0,1553,134479880,0
540,HellfireMilitary,Hellfire Citadel: The Shattered Halls,,,,,-306.75818,3064.4355,2,1,1,3714,199,-1,-1,-1,0,1,530,5,0,0,831277,0,1553,134479880,0
542,HellfireDemon,Hellfire Citadel: The Blood Furnace,,,,,-295.41934,3151.9927,2,1,1,3713,199,-1,-1,-1,0,1,530,5,0,0,830642,0,1553,134479880,0
543,HellfireRampart,Hellfire Citadel: Ramparts,,,,,-360.04987,3067.8955,1,1,1,3562,199,-1,-1,-1,0,1,530,5,0,0,832154,0,67089,134479880,0
544,HellfireRaid,Magtheridon's Lair,,,,,-330.23386,3106.636,2,2,1,3836,208,-1,-1,-1,0,1,530,25,0,0,833183,0,1553,134479880,0
545,CoilfangPumping,Coilfang: The Steamvault,,,,,764.21906,6915.0796,2,1,1,3715,207,-1,-1,-1,0,1,530,5,0,0,828422,0,1553,134479880,0
546,CoilfangMarsh,Coilfang: The Underbog,,,,,764.62823,6768.0728,2,1,1,3716,207,-1,-1,-1,0,1,530,5,0,0,831262,0,1553,134479880,0
547,CoilfangDraenei,Coilfang: The Slave Pens,,,,,742.1582,7011.3267,2,1,1,3717,207,-1,-1,-1,0,1,530,5,0,0,830731,0,1553,134479880,0
548,CoilfangRaid,Coilfang: Serpentshrine Cavern,,,,,775.7864,6865.2427,2,2,1,3607,207,-1,-1,-1,0,1,530,25,0,0,829900,0,1553,134479880,0
550,TempestKeepRaid,Tempest Keep,,,,,0,0,2,2,1,3845,206,-1,-1,-1,0,1,-1,25,0,0,832484,0,1553,134479880,0
552,TempestKeepArcane,Tempest Keep: The Arcatraz,,,,,0,0,2,1,1,3848,206,-1,-1,-1,0,1,-1,5,0,0,832070,0,1553,134479880,0
553,TempestKeepAtrium,Tempest Keep: The Botanica,,,,,0,0,2,1,1,3847,206,-1,-1,-1,0,1,-1,5,0,0,833950,0,1553,134479880,0
554,TempestKeepFactory,Tempest Keep: The Mechanar,,,,,0,0,2,1,1,3849,206,-1,-1,-1,0,1,-1,5,0,0,831974,0,1553,134479880,0
555,AuchindounShadow,Auchindoun: Shadow Labyrinth,,,,,-3640.6877,4943.1626,2,1,1,3789,201,-1,-1,-1,0,1,530,5,0,0,828331,0,1553,134479880,0
556,AuchindounDemon,Auchindoun: Sethekk Halls,,,,,-3361.8625,4665.5923,2,1,1,3791,201,-1,-1,-1,0,1,530,5,0,0,828811,0,1553,134479880,0
557,AuchindounEthereal,Auchindoun: Mana-Tombs,,,,,-3089.5164,4942.7563,2,1,1,3792,201,-1,-1,-1,0,1,530,5,0,0,830899,0,1553,134479880,0
558,AuchindounDraenei,Auchindoun: Auchenai Crypts,,,,,-3363.44,5156.455,2,1,1,3790,201,-1,-1,-1,0,1,530,5,0,0,830415,0,1553,134479880,0
559,PVPZone05,Nagrand Arena (old),,,,,0,0,1,4,0,0,219,-1,-1,-1,0,1,-1,0,0,0,790469,0,1553,135004168,0
560,HillsbradPast,The Escape from Durnholde,,,,,-8309.81,-4061.5088,1,1,1,267,212,-1,-1,-1,0,1,1,5,0,0,833998,0,9745,134479880,0
562,bladesedgearena,zzOldBlade's Edge Arena,,,,,0,0,1,4,0,3702,218,-1,-1,-1,0,1,-1,0,0,0,780261,0,1553,135004168,0
564,BlackTemple,Black Temple,,,,,-3644.53,317.294,1,2,1,0,215,-1,-1,-1,0,1,530,25,0,0,829630,0,1553,134479880,0
565,GruulsLair,Gruul's Lair,,,,,3525.453,5144.151,2,2,1,3923,213,-1,-1,-1,0,1,530,25,0,0,833180,0,1553,134479880,0
566,NetherstormBG,Eye of the Storm,"Hovering high above the ravaged landscape of Netherstorm is the island known as the Eye of the Storm.

Eye of the Storm is a 15 vs 15 domination battleground, where each side attempts to control the Mage Tower, Fel Reaver Ruins, Blood Elf Tower, and Draenei Ruins for as long as possible.

This battlefield is coveted by the blood elves for its rich energy deposits.

The draenei seek to claim it due to its proximity to the naaru's mysterious vessel, Tempest Keep.","Hovering high above the ravaged landscape of Netherstorm is the island known as the Eye of the Storm.

Eye of the Storm is a 15 vs 15 domination battleground, where each side attempts to control the Mage Tower, Fel Reaver Ruins, Blood Elf Tower, and Draenei Ruins for as long as possible.

The draenei seek to claim it due to its proximity to the naaru's mysterious vessel, Tempest Keep.

This battlefield is coveted by the blood elves for its rich energy deposits.",Capture the objectives,"- Capture and hold objectives
- Capture the center flag
- Earn 1500 resources",0,0,1,3,0,0,210,-1,-1,-1,0,1,-1,0,0,0,788893,0,1553,135004168,0
568,ZulAman,Zul'Aman,,,,,6851.021,-7989.7134,1,1,3,0,276,-1,-1,-1,0,1,530,10,0,0,815727,0,1553,134479880,0
571,Northrend,Northrend,,,,,0,0,1,0,2,0,216,-1,-1,-1,0,1,-1,0,0,804939,822688,0,9757,134479896,0
572,PVPLordaeron,Ruins of Lordaeron,,,,,0,0,1,4,0,0,217,-1,-1,-1,0,1,-1,0,0,0,789984,0,1553,135004168,0
574,Valgarde70,Utgarde Keep,,,,,1211.7594,-4868.422,1,1,2,0,220,-1,-1,-1,0,1,571,5,0,0,825743,0,9757,134479880,0
575,UtgardePinnacle,Utgarde Pinnacle,,,,,1232.4098,-4860.9536,1,1,2,0,221,-1,-1,-1,0,1,571,5,0,0,827661,0,67101,134479880,0
576,Nexus70,The Nexus,,,,,3899.9258,6985.4355,2,1,2,4265,226,-1,-1,-1,0,1,571,5,0,0,821331,0,1553,134479880,0
578,Nexus80,The Oculus,,,,,3865.923,6983.94,1,1,2,0,227,-1,-1,-1,0,1,571,5,0,0,819814,0,1565,134479880,0
580,SunwellPlateau,The Sunwell,,,,,12551.763,-6774.5654,1,2,1,0,225,-1,-1,-1,0,1,530,25,0,0,832953,0,1553,134479880,0
582,Transport176244,Transport: Rut'theran to Auberdine,,,,,0,0,3,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,1553,134479880,0
584,Transport176231,Transport: Menethil to Theramore,,,,,0,0,3,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,1553,134479880,0
585,Sunwell5ManFix,Magisters' Terrace,,,,,12881.902,-7343.0947,1,1,1,0,224,-1,-1,-1,0,1,530,5,0,0,834223,0,67101,134479880,0
586,Transport181645,Transport: Exodar to Auberdine,,,,,0,0,3,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,1553,134479880,0
587,Transport177233,Transport: Feathermoon Ferry,,,,,0,0,3,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,1553,134479880,0
588,Transport176310,Transport: Menethil to Auberdine,,,,,0,0,3,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,1553,134479880,0
589,Transport175080,Transport: Orgrimmar to Grom'Gol,,,,,0,0,3,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,1553,134479880,0
590,Transport176495,Transport: Grom'Gol to Undercity,,,,,0,0,3,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,1553,134479880,0
591,Transport164871,Transport: Undercity to Orgrimmar,,,,,0,0,3,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,1553,134479880,0
592,Transport186238,Transport: Borean Tundra Test,,,,,0,0,3,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,1553,134479880,0
593,Transport20808,Transport: Booty Bay to Ratchet,,,,,0,0,3,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,1553,134479880,0
594,Transport187038,Transport: Howling Fjord Sister Mercy (Quest),,,,,0,0,3,0,2,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,1553,134479880,0
595,StratholmeCOT,The Culling of Stratholme,,,,,-8756.087,-4457.418,1,1,2,0,222,-1,-1,-1,0,1,1,5,0,0,826005,0,1553,134479880,0
596,Transport187263,Transport: Naglfar,,,,,0,0,3,0,2,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,1553,134479880,0
599,Ulduar70,Halls of Stone,,,,,8921.793,-966.80646,1,1,2,0,230,-1,-1,-1,0,1,571,5,0,0,824642,0,1565,134479880,0
600,DrakTheronKeep,Drak'Tharon Keep,,,,,4774.583,-2023.0491,1,1,2,0,228,-1,-1,-1,0,1,571,5,0,0,820968,0,1565,134479880,0
601,Azjol_Uppercity,Azjol-Nerub,,,,,3672.2153,2171.2751,1,1,2,0,229,-1,-1,-1,0,1,571,5,0,0,818693,0,1565,134479880,0
602,Ulduar80,Halls of Lightning,,,,,9185.088,-1386.7906,1,1,2,0,231,-1,-1,-1,0,1,571,5,0,0,824768,0,1565,134479880,0
603,UlduarRaid,Ulduar,,,,,9359.371,-1115.1754,1,2,2,0,244,0,-1,-1,0,1,571,5,0,0,825015,0,1565,134479880,0
604,GunDrak,Gundrak,,,,,6708.731,-4654.904,1,1,2,0,237,-1,-1,-1,0,1,571,5,0,0,818626,0,1565,134479880,0
607,NorthrendBG,Strand of the Ancients,"To the south of Dragonblight lies the resting place of a legendary Titan artifact known by the Alliance and Horde to possess critical information regarding the Titans and their methods.

Strand of the Ancients is a 15 vs 15 battleground, where each side takes a turn attacking and defending the Titan artifact at the southern tip of the island.


Prepare yourself for battle, for fate cannot determine success upon this Strand of the Ancients.","To the south of Dragonblight lies the resting place of a legendary Titan artifact known by the Alliance and Horde to possess critical information regarding the Titans and their methods.

Strand of the Ancients is a 15 vs 15 battleground, where each side takes a turn attacking and defending the Titan artifact at the southern tip of the island.


Prepare yourself for battle, for fate cannot determine success upon this Strand of the Ancients.",Capture the Titan Relic,"- Attackers: Destroy the gates and relic
- Defenders: Defend the gates and relic
- Fastest team to capture the relic wins",0,0,1,3,0,0,238,-1,-1,-1,0,1,-1,0,0,0,789579,0,1565,135004168,0
608,DalaranPrison,Violet Hold,,,,,5689.4897,498.04694,1,1,2,0,235,-1,-1,-1,0,1,571,5,0,0,818205,0,1565,134479880,0
609,DeathKnightStart,Ebon Hold,,,,,0,0,1,0,2,0,233,-1,-1,-1,0,1,-1,0,0,0,818210,0,67101,134479880,0
610,Transport_Tirisfal _Vengeance_Landing,Transport: Tirisfal to Vengeance Landing,,,,,0,0,3,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,1553,134479880,0
612,Transport_Menethil_Valgarde,Transport: Menethil to Valgarde,,,,,0,0,3,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,1553,134479880,0
613,Transport_Orgrimmar_Warsong_Hold,Transport: Orgrimmar to Warsong Hold,,,,,0,0,3,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,1553,134479880,0
614,Transport_Stormwind_Valiance_Keep,Transport: Stormwind to Valiance Keep,,,,,0,0,3,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,1553,134479880,0
615,ChamberOfAspectsBlack,The Obsidian Sanctum,,,,,3438.1533,260.4013,1,2,2,0,239,-1,-1,-1,0,1,571,0,0,0,820448,0,34333,134479880,0
616,NexusRaid,The Eye of Eternity,,,,,3869.9814,6984.33,1,2,2,0,236,-1,-1,-1,0,1,571,5,0,0,822560,0,34333,134479880,0
617,DalaranArena,Dalaran Sewers,,,,,0,0,1,4,0,0,242,0,-1,-1,0,1,-1,0,0,0,780309,0,1565,135004168,0
618,OrgrimmarArena,The Ring of Valor,,,,,0,0,1,4,0,0,240,720,-1,-1,0,1,-1,0,0,0,789925,0,4195869,135004168,0
619,Azjol_LowerCity,Ahn'kahet: The Old Kingdom,,,,,3641.458,2032.0638,1,1,2,0,234,-1,-1,-1,0,1,571,0,0,0,818056,0,1565,134479880,0
620,Transport_Moa'ki_Unu'pe,Transport: Moa'ki to Unu'pe,,,,,0,0,3,0,2,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,1553,134479880,0
621,Transport_Moa'ki_Kamagua,Transport: Moa'ki to Kamagua,,,,,0,0,3,0,2,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,1553,134479880,0
622,Transport192241,Transport: Orgrim's Hammer,,,,,0,0,3,0,2,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,1553,134479880,0
623,Transport192242,Transport: The Skybreaker,,,,,0,0,3,0,2,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,1553,134479880,0
624,WintergraspRaid,Vault of Archavon,,,,,5488.1245,2840.3337,1,2,2,0,243,-1,-1,-1,0,1,571,0,0,0,826589,0,34365,-2013003768,0
627,unused,Unused (DELETE ME),,,,,0,0,1,5,6,0,25,-1,-1,-1,0,1,-1,0,0,0,856557,0,15957,134479872,0
628,IsleofConquest,Isle of Conquest,"The Isle of Conquest is a point of strategic importance for the Alliance and Horde campaigns in Northrend, each side determined to secure control of the island.

As a large-scale battleground, each side attempts to wrest control of the Siege Factory, Docks, or Hangar in order to secure access to the enemy stronghold and defeat its general (Halford Wyrmbane or Overlord Agmar).","The Isle of Conquest is a point of strategic importance for the Alliance and Horde campaigns in Northrend, each side determined to secure control of the island.

As a large-scale battleground, each side attempts to wrest control of the Siege Factory, Docks, or Hangar in order to secure access to the enemy stronghold and defeat its general (Halford Wyrmbane or Overlord Agmar).",Slay the enemy's leader,"- Capture the vehicle spawn points
- Siege the enemy fortress
- Slay the enemy's leader",0,0,1,3,2,0,245,-1,-1,-1,0,1,-1,0,0,0,821811,0,1565,135004168,0
631,IcecrownCitadel,Icecrown Citadel,,,,,5776.922,2065.9324,1,2,2,0,250,-1,-1,-1,0,1,571,0,0,0,820428,0,34333,-2013003768,0
632,IcecrownCitadel5Man,The Forge of Souls,,,,,5670.7915,2003.6285,1,1,2,0,249,-1,-1,-1,0,1,571,0,0,0,818965,0,1565,134479880,0
637,AbyssalMaw,Abyssal Maw Exterior,,,,,0,0,1,1,3,0,23,-1,-1,-1,0,1,-1,0,0,0,814762,0,1565,134479880,0
638,Gilneas,Gilneas,,,,,0,0,1,0,0,0,4,-1,654,-1,0,1,-1,0,0,0,782283,0,1629,134479884,0
641,Transport_AllianceAirshipBG,Transport: Alliance Airship BG,,,,,0,0,3,0,2,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,1553,134479880,0
642,Transport_HordeAirshipBG,Transport: HordeAirshipBG,,,,,0,0,3,0,2,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,1553,134479880,0
643,AbyssalMaw_Interior,Throne of the Tides,,,,,-5585.8716,5401.6494,1,1,3,0,255,-1,-1,-1,0,1,0,0,0,0,814875,0,17949,134479880,0
644,Uldum,Halls of Origination,,,,,-10225.995,-1837.4791,1,1,3,0,256,1080,-1,-1,0,1,1,0,0,0,817800,0,1565,134479880,0
645,BlackRockSpire_4_0,Blackrock Caverns,,,,,-7570.2446,-1330.6841,1,1,3,0,267,-1,-1,-1,0,1,0,0,0,0,813034,0,1565,134479880,0
646,Deephome,Deepholm,,,,,0,0,1,0,3,0,268,-1,-1,-1,0,1,-1,0,0,0,816934,0,1629,134488072,0
647,Transport_Orgrimmar_to_Thunderbluff,Transport: Orgrimmar to Thunder Bluff,,,,,0,0,3,0,2,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,1553,134479880,0
648,LostIsles,LostIsles,,,,,0,0,1,0,0,0,3,-1,-1,-1,0,1,-1,0,0,0,787837,0,271965,134479884,0
649,ArgentTournamentRaid,Trial of the Crusader,,,,,8515.286,736.13715,1,2,2,0,246,-1,-1,-1,0,1,571,0,0,0,818173,0,34333,-2013003768,0
650,ArgentTournamentDungeon,Trial of the Champion,,,,,8571.435,792.2205,1,1,2,0,247,-1,-1,-1,0,1,571,0,0,0,817987,0,1565,-2013003768,0
654,Gilneas2,Gilneas2,,,,,0,0,1,0,0,0,4,-1,-1,-1,0,1,-1,0,0,0,782341,0,263709,134479884,0
655,GilneasPhase1,GilneasPhase1,,,,,0,0,1,0,0,0,0,-1,654,-1,0,1,-1,0,0,0,782644,0,1629,134479884,0
656,GilneasPhase2,GilneasPhase2,,,,,0,0,1,0,0,0,0,-1,654,-1,0,1,-1,0,0,0,782667,0,1629,134479884,0
657,SkywallDungeon,The Vortex Pinnacle,,,,,-11522.493,-2317.934,1,1,3,0,259,-1,-1,-1,0,1,1,0,0,0,817086,0,1565,134479880,0
658,QuarryofTears,Pit of Saron,,,,,5592.057,2010.2709,1,1,2,0,252,-1,-1,-1,0,1,571,0,0,0,827056,0,1565,134479880,0
659,LostIslesPhase1,Lost Isles Volcano Eruption,,,,,0,0,1,0,0,0,3,-1,648,-1,0,1,-1,0,0,0,788585,0,1565,134479884,0
661,LostIslesPhase2,Lost Isles Town in a Box,,,,,0,0,1,0,0,0,0,-1,648,-1,0,1,-1,0,0,0,788648,0,1565,134479884,0
662,Transport197195,Transport: Alliance Vashj'ir Ship,,,,,0,0,3,0,3,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,1553,134479880,0
668,HallsOfReflection,Halls of Reflection,,,,,5628.875,1973.2865,1,1,2,0,253,-1,-1,-1,0,1,571,0,0,0,818690,0,1565,134479880,0
669,BlackwingDescent,Blackwing Descent,,,,,-7541.7676,-1188.8317,1,2,3,0,260,-1,-1,-1,0,1,0,0,0,0,813052,0,34333,134479880,0
670,GrimBatolDungeon,Grim Batol,,,,,-4047.74,-3446.35,1,1,3,0,257,-1,-1,-1,0,1,0,0,0,0,815686,0,1565,134479880,0
671,GrimBatolRaid,The Bastion of Twilight,,,,,-4903.0103,-4221.21,1,2,3,0,266,-1,-1,-1,0,1,0,0,0,0,814552,0,34333,134479880,0
672,Transport197347,Transport: The Skybreaker (Icecrown Citadel Raid),,,,,0,0,3,0,2,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,1553,134479880,0
673,Transport197348,Transport: Orgrim's Hammer (Icecrown Citadel Raid),,,,,0,0,3,0,2,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,1553,134479880,0
674,Transport197349-2,Transport: Ship to Vashj'ir,,,,,0,0,3,0,3,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,1553,134479880,0
712,Transport197349,Transport: The Skybreaker (IC Dungeon),,,,,0,0,3,0,2,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,1553,134479880,0
713,Transport197350,Transport: Orgrim's Hammer (IC Dungeon),,,,,0,0,3,0,2,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,1553,134479880,0
718,Transport201834,Transport: The Mighty Wind (Icecrown Citadel Raid),,,,,0,0,3,0,2,0,0,-1,-1,-1,0,1,-1,0,0,0,0,0,1537,134479880,0
719,MountHyjalPhase1,Mount Hyjal Phase 1,,,,,0,0,1,0,0,0,3,-1,1,-1,0,1,-1,0,0,0,788845,0,8521309,134479896,0
720,Firelands1,Firelands,,,,,3987.2,-2943.32,1,2,3,0,275,720,-1,-1,0,1,1,0,0,0,816444,0,2098717,134479896,0
