ID,DisplayName_lang,HordeDisplayName_lang
2189,Mascote - Mecânico,
2216,Mascote - Abominação,
2279,Ajudante - Boi,
2280,Ajudante - Courescama,
2361,Mascote - Aquifélix,
2419,Racial - Filho da Noite,
2420,Racial - Tauren Altamontês,
2421,Racial - Draenei Forjado a Luz,
2423,Racial - Elfo Caótico,
2437,Ferraria de Kul Tiraz,Ferraria de Zandalar
2454,Ferraria de Legion,
2464,Língua: Shalassiana,
2465,Língua: Talassiana,
2472,Ferraria de Draenor,
2473,Ferraria de Pandária,
2474,Ferraria de Cataclysm,
2475,Ferraria de Nortúndria,
2476,Ferraria de Terralém,
2477,Ferraria,
2478,Alquimia de Kul Tiraz,Alquimia de Zandalar
2479,Alquimia de Legion,
2480,Alquimia de Draenor,
2481,Alquimia de Pandária,
2482,Alquimia de Cataclysm,
2483,Alquimia de Nortúndria,
2484,Alquimia de Terralém,
2485,Alquimia,
2486,Encantamento de Kul Tiraz,Encantamento de Zandalar
2487,Encantamento de Legion,
2488,Encantamento de Draenor,
2489,Encantamento de Pandária,
2491,Encantamento de Cataclysm,
2492,Encantamento de Nortúndria,
2493,Encantamento de Terralém,
2494,Encantamento,
2499,Engenharia de Kul Tiraz,Engenharia de Zandalar
2500,Engenharia de Legion,
2501,Engenharia de Draenor,
2502,Engenharia de Pandária,
2503,Engenharia de Cataclysm,
2504,Engenharia de Nortúndria,
2505,Engenharia de Terralém,
2506,Engenharia,
2507,Escrivania de Kul Tiraz,Escrivania de Zandalar
2508,Escrivania de Legion,
2509,Escrivania de Draenor,
2510,Escrivania de Pandária,
2511,Escrivania de Cataclysm,
2512,Escrivania de Nortúndria,
2513,Escrivania de Terralém,
2514,Escrivania,
2517,Joalheria de Kul Tiraz,Joalheria de Zandalar
2518,Joalheria de Legion,
2519,Joalheria de Draenor,
2520,Joalheria de Pandária,
2521,Joalheria de Cataclysm,
2522,Joalheria de Nortúndria,
2523,Joalheria de Terralém,
2524,Joalheria,
2525,Couraria de Kul Tiraz,Couraria de Zandalar
2526,Couraria de Legion,
2527,Couraria de Draenor,
2528,Couraria de Pandária,
2529,Couraria de Cataclysm,
2530,Couraria de Nortúndria,
2531,Couraria de Terralém,
2532,Couraria,
2533,Alfaiataria de Kul Tiraz,Alfaiataria de Zandalar
2534,Alfaiataria de Legion,
2535,Alfaiataria de Draenor,
2536,Alfaiataria de Pandária,
2537,Alfaiataria de Cataclysm,
2538,Alfaiataria da Nortúndria,
2539,Alfaiataria de Terralém,
2540,Alfaiataria,
2541,Culinária de Kul Tiraz,Culinária de Zandalar
2542,Culinária de Legion,
2543,Culinária de Draenor,
2544,Culinária de Pandária,
2545,Culinária de Cataclysm,
2546,Culinária de Nortúndria,
2547,Culinária de Terralém,
2548,Culinária,
2549,Herborismo de Kul Tiraz,Herborismo de Zandalar
2550,Herborismo de Legion,
2551,Herborismo de Draenor,
2552,Herborismo de Pandária,
2553,Herborismo de Cataclysm,
2554,Herborismo de Nortúndria,
2555,Herborismo de Terralém,
2556,Herborismo,
2557,Esfolamento de Kul Tiraz,Esfolamento de Zandalar
2558,Esfolamento de Legion,
2559,Esfolamento de Draenor,
2560,Esfolamento de Pandária,
2561,Esfolamento de Cataclysm,
2562,Esfolamento de Nortúndria,
2563,Esfolamento de Terralém,
2564,Esfolamento,
2565,Mineração de Kul Tiraz,Mineração de Zandalar
2566,Mineração de Legion,
2567,Mineração de Draenor,
2568,Mineração de Pandária,
2569,Mineração de Cataclysm,
2570,Mineração de Nortúndria,
2571,Mineração de Terralém,
2572,Mineração,
2585,Pesca de Kul Tiraz,Pesca dos Zandalari
2586,Pesca da Legião,
2587,Pesca de Draenor,
2588,Pesca de Pandária,
2589,Pesca de Cataclysm,
2590,Pesca de Nortúndria,
2591,Pesca de Terralém,
2592,Pesca,
2597,Racial - Anão Ferro Negro,
2598,Racial - Orc Mag'har,
2703,Ajudante - Lagarto,
2704,Ajudante - Cavalo,
2705,Ajudante - Pterrordax Exótico,
2706,Ajudante - Sapo,
2707,Mascote - Carapídeo Exótico,
2716,Segundo Ajudante - Caçador,
2719,Pet - Blood Beast,
2720,Sucatrônica,
2721,Racial - Troll Zandalari,
2723,Racial - Kultireno,
2727,Todas as Classes,
2730,Kyrianos,
2731,Venthyr,
2732,Feérios Noturnos,
2733,Necrolordes,
2734,Equipamento de Montaria,
2750,Alquimia de Shadowlands,
2751,Ferraria de Shadowlands,
2752,Culinária de Shadowlands,
2753,Encantamento de Shadowlands,
2754,Pesca de Shadowlands,
2755,Engenharia de Shadowlands,
2756,Escrivania de Shadowlands,
2757,Joalheria de Shadowlands,
2758,Couraria de Shadowlands,
2759,Alfaiataria de Shadowlands,
2760,Herborismo de Shadowlands,
2761,Mineração de Shadowlands,
2762,Esfolamento de Shadowlands,
2773,Racial - Anão Ferro Negro,
2774,Racial - Gnomecânico,
2775,Racial - Vulpera,
2776,Idioma: Vulpera,
2777,Cifragem da Alma,
2787,Sutura de Abominação,
2791,Criação da Ascensão,
2805,Mascote - Mamute,
2806,Mascote - Ginete,
2807,Mascote - Camelo,
2811,Criação Estígia,
2817,Língua: Cifra,
2819,Síntese de Protoforma,
