ID,Name_lang,Description_lang,MapID,BackgroundFileDataID,ButtonFileDataID,ButtonSmallFileDataID,LoreFileDataID,OrderIndex,Flags,AreaID
262,The Underbog,"Coilfang Reservoir is the name for a naga-dominated compound that lurks under Zangarmarsh's deepest waters. The reservoir, punctured throughout by massive open pipes and pistons, seems big enough to house armies - and, yet, its purpose isn't strictly military.",546,608160,608199,136331,608238,0,1,0
271,Ahn'kahet: The Old Kingdom,"Azjol-Nerub was an empire of great strength when the Lich King arrived in Northrend. Despite ferocious resistance, however, Scourge forces managed to overtake the subterranean kingdom and slaughter its inhabitants, the nerubians. Scarred by years of war and abandonment, this vast domain is now occupied on two fronts.",619,608153,608192,237592,608231,0,0,0
272,Azjol-Nerub,"Azjol-Nerub was an empire of great strength when the Lich King arrived in Northrend. Despite ferocious resistance, however, Scourge forces managed to overtake the subterranean kingdom and slaughter its inhabitants, the nerubians. Scarred by years of war and abandonment, this vast domain is now occupied on two fronts.",601,608155,608194,237593,608233,0,1,0
273,Drak'Tharon Keep,"Drak'Tharon Keep once served the Drakkari trolls as a formidable outpost at the edge of their kingdom, Zul'Drak, but a recent Scourge invasion has delivered the fortress into the Lich King's hands. The keep's fallen defenders are now the Lich King's undead minions, and they are advancing into the heart of Drakkari territory.",600,608162,608201,237595,608240,0,0,0
274,Gundrak,"Desperate to save their kingdom from collapse, the trolls of Zul'Drak have turned on their ancient gods. The wild deities are now considered a source of untapped power, their potent blood providing the means to repel the Lich King's minions, who have overtaken parts of the troll nation. Heroes have recently journeyed to the beleaguered region to strike at the savage Drakkari and their maddened prophets.",604,608164,608203,237596,608242,0,1,0
275,Halls of Lightning,"Upon departing Azeroth, the titans entrusted loyal protectors with safeguarding Ulduar, an enigmatic city nestled in the mountains of the Storm Peaks. Designated supreme among his brethren was the guardian known as Loken, but with the power of the titan complex in his hands, he turned to darkness and plunged the region into chaos.",602,608165,608204,237598,608243,0,1,0
276,Halls of Reflection,"For many years, champions among the races of Azeroth have stood against the Lich King only to be slaughtered mercilessly and forced to serve in his army of undead horrors. In his ongoing struggle to stop the Lich King, Tirion Fordring of the Argent Crusade has joined forces with Darion Mograine of the Knights of the Ebon Blade in order to assault Icecrown Citadel with a unified army called the Ashen Verdict.",668,608166,608205,336389,608244,0,0,0
277,Halls of Stone,"Upon departing Azeroth, the titans entrusted loyal protectors with safeguarding Ulduar, an enigmatic city nestled in the mountains of the Storm Peaks. Designated supreme among his brethren was the guardian known as Loken, but with the power of the titan complex in his hands, he turned to darkness and plunged the region into chaos.",599,608167,608206,237599,608245,0,0,0
278,Pit of Saron,"For many years, champions among the races of Azeroth have stood against the Lich King only to be slaughtered mercilessly and forced to serve in his army of undead horrors. In his ongoing struggle to stop the Lich King, Tirion Fordring of the Argent Crusade has joined forces with Darion Mograine of the Knights of the Ebon Blade in order to assault Icecrown Citadel with a unified army called the Ashen Verdict.",658,608171,608210,336391,608249,0,0,0
279,The Culling of Stratholme,"Deep within the Caverns of Time, the brooding dragon Nozdormu has awakened. Since the world was young, the bronze dragonflight has safeguarded the winding labyrinth, monitoring the shifting timeways to ensure that the delicate balance of time is upheld.",595,608180,608219,237601,608258,0,0,0
280,The Forge of Souls,"For many years, champions among the races of Azeroth have stood against the Lich King only to be slaughtered mercilessly and forced to serve in his army of undead horrors. In his ongoing struggle to stop the Lich King, Tirion Fordring of the Argent Crusade has joined forces with Darion Mograine of the Knights of the Ebon Blade in order to assault Icecrown Citadel with a unified army called the Ashen Verdict.",632,608181,608220,336392,608259,0,1,0
281,The Nexus,"In order to reestablish his dominance over magic, the blue Dragon Aspect, Malygos, has launched a ruthless campaign to sever the link between mortals and the arcane energies coursing through Azeroth. To this end, his blue dragonflight is redirecting the ley lines of the world to the Nexus, Malygos' towering lair.",576,608182,608221,237602,608260,0,1,0
282,The Oculus,"In order to reestablish his dominance over magic, the blue Dragon Aspect, Malygos, has launched a ruthless campaign to sever the link between mortals and the arcane energies coursing through Azeroth. To this end, his blue dragonflight is redirecting the ley lines of the world to the Nexus, Malygos' towering lair.",578,608183,608222,237603,608261,0,0,0
283,The Violet Hold,"Among the ornate spires and enchanted streets of Dalaran, a dark presence stirs within the mighty walls of the Violet Hold. Long used to restrain threats to the city, the tower holds row upon row of deadly inmates, and it has been diligently watched over by the Kirin Tor. However, a sudden assault has tested the integrity of the hold, putting at risk the safety of everyone outside the prison's walls.",608,608189,608228,237604,608312,0,0,0
284,Trial of the Champion,"Clouds blanket the skies of Icecrown and heroes gather beneath battle-worn banners in preparation for the coming storm. They say that even the darkest cloud has a silver lining. It is this hope that drives the men and women of the Argent Crusade: hope that the Light will see them through these trying times, hope that good will triumph over evil, hope that a hero blessed by the Light will come forth to put an end to the Lich King's dark reign.",650,608185,608224,311220,608263,0,0,0
285,Utgarde Keep,"Utgarde Keep was long thought to be abandoned, a relic of a lost civilization among the central cliffs of the Howling Fjord. Yet in recent days something has roused the fortress' slumbering residents, the vrykul.",574,608187,608226,237605,608265,0,1,0
286,Utgarde Pinnacle,"Utgarde Keep was long thought to be abandoned, a relic of a lost civilization among the central cliffs of the Howling Fjord. Yet in recent days something has roused the fortress' slumbering residents, the vrykul.",575,608188,608227,237606,608266,0,0,0
302,Stormstout Brewery,"When Chen Stormstout arrived in the Valley of the Four Winds, he journeyed to the renowned brewery of his namesake, hoping to connect with his relatives. What he found was his ancestral home in disarray. Under the watch of the incompetent Uncle Gao, loathsome virmen and unruly hozen have infiltrated the brewery, sparking a destructive revel that will soon devastate the region's supply of tasty brews.",961,632268,632275,632362,632282,0,1,0
303,Gate of the Setting Sun,"For generations, a massive wall called the Serpent's Spine has protected the denizens of Pandaria from periodic assaults by the rampaging, insect-like mantid. This brutal race's cycle of aggression recently began earlier than expected, catching the wall's defenders off guard. As the mightiest mantid warriors charge the battle-worn gates, Pandaria must hold back the most devastating army in the land's recorded history.",962,632263,632270,632357,632277,0,1,0
311,Scarlet Halls,"The Crusade's fiercest warriors, those who have held their ground and fought to defend the monastery throughout these dark times, are rapidly preparing an army within the Scarlet Halls. These soldiers are bound by their hatred of the unliving, and they are willing to sacrifice everything for their order's righteous cause.",1001,643259,643262,643268,643265,0,0,0
312,Shado-Pan Monastery,"War has spread across Pandaria, and the destructive conflict between the Horde and Alliance has led to turmoil in the majestic Shado-Pan Monastery. There, three malevolent entities--the Sha of Violence, the Sha of Hatred, and the Sha of Anger--have erupted from their prisons. Although the Sha of Anger fled the secluded monastery completely, the remaining sha have begun wreaking havoc on the site's brave Shado-Pan defenders.",959,632267,632274,632361,632281,0,1,0
313,Temple of the Jade Serpent,"Rising high above the east coast of Pandaria, the Temple of the Jade Serpent stands as a sacred monument to the legendary pandaren emperor Shaohao's victory over the Sha of Doubt thousands of years ago. Recently, a disastrous conflict in the Jade Forest unleashed the sha, and several of the entities  have raided the temple's most treasured stores of wisdom and knowledge.",960,632269,632276,632363,632283,0,1,0
316,Scarlet Monastery,"The Crusade's fanatical leaders direct their followers from the Scarlet Cathedral, at the heart of the monastery grounds. This heavily guarded location functions as the order's headquarters, and some of the most zealous and intolerant crusaders roam the halls of this once-hallowed place.",1004,608175,608214,136354,608253,0,0,0
317,Mogu'shan Vaults,"The mogu, proud of their supremacy, kept lengthy records of their accomplishments within a great complex of vaults. The construction of these vast chambers predate any pandaren written records, shrouding their depths in mystery. Rumors once circulated of a mighty army locked within; for this reason, the vaults were the first target of the ancient pandaren rebellion, and they have been sealed ever since the mogu empire was overthrown.",1008,632266,632273,632360,632280,2,0,0
320,Terrace of Endless Spring,"Hidden high in the mountains, the Terrace of Endless Spring is the sacred center of the Vale of Eternal Blossoms. Its peaceful fountains are said to have the power to heal and rejuvenate, but when the Sha of Fear attacked, many of the complex's guardians turned on each other in fits of terror.",996,643261,643264,643270,643267,4,0,0
321,Mogu'shan Palace,"The ancient Mogu'shan Palace is the last true bastion of mogu strength on mainland Pandaria. Three of their great clans recently gathered at this stunning location to meet with their king, Xin the Weaponmaster. This mighty ruler has formulated a bold plan to unite his scattered people and reclaim the glory of their fallen empire. With turmoil gripping Pandaria, Xin's lofty dream of conquest could become reality.",994,632265,632272,632359,632279,0,1,0
322,Pandaria,"Shrouded in mists since the world was sundered ten thousand years ago, the ancient realm of Pandaria has remained unspoiled by war. Its lush forests and cloud-ringed mountains are home to a complex ecosystem of indigenous races and exotic creatures. It is the homeland of the enigmatic pandaren, a race that celebrates life to the fullest even while under siege by an ancient menace.",996,652217,652218,1062579,652219,1,2,0
324,Siege of Niuzao Temple,"Niuzao Temple extends across two fortified islands far beyond a towering wall called the Serpent's Spine. For years, tenacious pandaren defenders have protected the narrow bridges connecting the isles, staving off any would-be invaders. Yet recently, the mantid created their own bridge--a massive tree root--and seized one of the islands by surprise. Now, these brutal insectoids are poised to assault Niuzao's remaining guardians.",1011,643260,643263,643269,643266,0,0,0
330,Heart of Fear,"The Sha of Fear has corrupted the grand empress of the mantid. Her increasingly erratic and paranoid commands have driven the Klaxxi--the keepers of mantid culture--to take aggressive action. Because they are few in number, the Klaxxi are reluctantly willing to accept outside help in destroying the empress and purging their race of the sha's negative influence.",1009,632264,632271,632358,632278,3,0,0
362,Throne of Thunder,"When Pandaria separated from Kalimdor many thousands of years ago, a veil of mist kept outsiders from discovering the newly-formed continent. The mists also hid a reminder of an ancient evil: Lei Shen's Throne of Thunder. During his rule, this fortress was the seat of the Thunder King's power. Even after his death, great swathes of corrupted energy lingered, and now, the resurrected Thunder King and the Zandalari trolls intend to harness that energy to establish the reign of Lei Shen once again.",1098,828450,828453,838785,828454,5,0,0
369,Siege of Orgrimmar,The tensions stoked by Garrosh Hellscream's arrogance have reached a boiling point with the destruction unleashed upon the Vale of Eternal Blossoms. Leaders of the Alliance and Horde lay siege to Hellscream's capital in order to topple the ruthless Warchief once and for all!,1136,904980,904981,904241,904982,6,0,0
385,Bloodmaul Slag Mines,"On the northern outskirts of Frostfire Ridge, the Bloodmaul ogres run a brutal mining operation amidst the sweltering heat of active volcanic caverns. Slaves from across Draenor are transported to the mines, never to leave alive. The Slag Mines produce abundant yields of gemstones and ore, but it is rumored that the true purpose of these mines is to dig for an ancient relic of immense power.",1175,1041968,1041994,1042059,1041984,0,1,0
457,Blackrock Foundry,"This foundry was the ancestral home of the Blackrock orcs, wherein master smiths smelted and worked the impossibly hard ore that is the clan's namesake. Now, massive giants captured and broken by the Thunderlord heat the great forges, flamebenders of the Burning Blade imbue the ore with an inner fire, and engineers shape the slag according to otherworldly schematics. Warlord Blackhand's foundry is the center of the Iron Horde's military might, churning out the weaponry that will be used to raze Azeroth.",1205,1041967,1041993,1042058,1041983,3,0,0
476,Skyreach,"Atop the crowning pinnacle of the Spires of Arak, amidst the clouds, Skyreach stands as the seat of power of the Adherents of Rukhmar. The arakkoa have gathered and harnessed the Apexis technology of their forebears, and now they are ready to unleash the focused power of the sun upon their enemies.",1209,1041973,1041999,1042064,1041989,0,1,0
