Name_lang,ID,ClassMask,TrackingQuestID,Flags,TransmogSetGroupID,ItemNameDescriptionID,ParentTransmogSetID,Field_8_1_0_28294_008,ExpansionID,PatchIntroduced,UiOrder,ConditionID
Garb of the Chosen Dead,178,3592,45229,2,47,1641,175,1,6,70100,8550,0
Chains of the Chosen Dead,179,68,45230,2,47,13193,0,1,6,70100,8551,0
Chains of the Chosen Dead,180,68,45231,2,47,2015,179,1,6,70100,8552,0
Chains of the Chosen Dead,181,68,45232,2,47,13145,179,1,6,70100,8553,0
Chains of the Chosen Dead,182,68,45233,2,47,1641,179,1,6,70100,8550,0
Funerary Plate of the Chosen Dead,183,35,45234,2,47,13193,0,1,6,70100,8551,0
Funerary Plate of the Chosen Dead,184,35,45235,2,47,2015,183,1,6,70100,8552,0
Funerary Plate of the Chosen Dead,185,35,45236,2,47,13145,183,1,6,70100,8553,0
Funerary Plate of the Chosen Dead,186,35,45237,2,47,1641,183,1,6,70100,8550,0
Dreadful Gladiator's Chain Armor,187,4,45583,16,9,13304,286,1,4,50003,4580,0
Dreadful Gladiator's Dragonhide Armor,188,1024,45584,16,9,13304,281,1,4,50003,4580,0
Dreadful Gladiator's Dreadplate Armor,189,32,45585,16,9,13304,285,1,4,50003,4580,0
Dreadful Gladiator's Felweave Armor,190,256,45593,16,9,13304,283,1,4,50003,4580,0
Dreadful Gladiator's Ironskin Armor,191,512,45594,16,9,13304,1059,1,4,50003,4580,0
Dreadful Gladiator's Leather Armor,192,8,45595,16,9,13304,280,1,4,50003,4580,0
Dreadful Gladiator's Plate,193,1,45596,16,9,13304,278,1,4,50003,4580,0
Dreadful Gladiator's Ringmail Armor,194,64,45597,16,9,13304,284,1,4,50003,4580,0
Dreadful Gladiator's Satin Armor,195,16,45598,16,9,13304,282,1,4,50003,4580,0
Dreadful Gladiator's Scaled Armor,196,2,45599,16,9,13304,277,1,4,50003,4580,0
Dreadful Gladiator's Silk Armor,197,128,45600,16,9,13304,276,1,4,50003,4580,0
Grievous Gladiator's Chain Armor,198,4,45601,24,15,13301,0,1,4,50200,5220,0
Grievous Gladiator's Chain Armor,199,4,45602,20,15,13301,0,1,4,50200,5220,0
Grievous Gladiator's Dragonhide Armor,200,1024,45603,24,15,13301,0,1,4,50200,5220,0
Grievous Gladiator's Dreadplate Armor,201,32,45604,24,15,13301,0,1,4,50200,5220,0
Grievous Gladiator's Felweave Armor,202,256,45605,24,15,13301,0,1,4,50200,5220,0
Grievous Gladiator's Ironskin Armor,203,512,45607,24,15,13301,0,1,4,50200,5220,0
Grievous Gladiator's Leather Armor,204,8,45608,24,15,13301,0,1,4,50200,5220,0
Grievous Gladiator's Plate Armor,205,1,45609,24,15,13301,0,1,4,50200,5220,0
Grievous Gladiator's Ringmail Armor,206,64,45610,24,15,13301,0,1,4,50200,5220,0
Grievous Gladiator's Satin Armor,207,16,45611,24,15,13301,0,1,4,50200,5220,0
Grievous Gladiator's Scaled Armor,208,2,45612,24,15,13301,0,1,4,50200,5220,0
Grievous Gladiator's Silk Armor,209,128,45613,24,15,13301,0,1,4,50200,5220,0
Grievous Gladiator's Dragonhide Armor,210,1024,45617,20,15,13301,0,1,4,50200,5220,0
Grievous Gladiator's Dreadplate Armor,211,32,45616,20,15,13301,0,1,4,50200,5220,0
Grievous Gladiator's Felweave Armor,212,256,45618,20,15,13301,0,1,4,50200,5220,0
Grievous Gladiator's Ironskin Armor,213,512,45619,20,15,13301,0,1,4,50200,5220,0
Grievous Gladiator's Leather Armor,214,8,45620,20,15,13301,0,1,4,50200,5220,0
Grievous Gladiator's Plate Armor,215,1,45621,20,15,13301,0,1,4,50200,5220,0
Grievous Gladiator's Ringmail Armor,216,64,45622,20,15,13301,0,1,4,50200,5220,0
Grievous Gladiator's Satin Armor,217,16,45623,20,15,13301,0,1,4,50200,5220,0
Grievous Gladiator's Scaled Armor,218,2,45624,20,15,13301,0,1,4,50200,5220,0
Grievous Gladiator's Silk Armor,219,128,45625,20,15,13301,0,1,4,50200,5220,0
Serban Quick Set,228,144,42778,1,0,7434,0,1,4,0,200,0
Parent Chain Set,230,4,43136,3,7,8027,0,1,2,0,7100,0
Child Chain Set,231,4,43197,1,6,7906,230,1,2,0,6600,0
Prideful Gladiator's Chain Armor,232,4,45884,20,14,13301,0,1,4,50400,5500,0
Prideful Gladiator's Dragonhide Armor,233,1024,45885,20,14,13301,0,1,4,50400,5500,0
Prideful Gladiator's Dreadplate Armor,234,32,45886,20,14,13301,0,1,4,50400,5500,0
Prideful Gladiator's Felweave Armor,235,256,45887,20,14,13301,0,1,4,50400,5500,0
Prideful Gladiator's Ironskin Armor,236,512,45888,20,14,13301,0,1,4,50400,5500,0
Prideful Gladiator's Leather Armor,237,8,45889,20,14,13301,0,1,4,50400,5500,0
Prideful Gladiator's Plate Armor,238,1,45891,20,14,13301,0,1,4,50400,5500,0
Prideful Gladiator's Ringmail Armor,239,64,45892,20,14,13301,0,1,4,50400,5500,0
Prideful Gladiator's Satin Armor,240,16,45893,20,14,13301,0,1,4,50400,5500,0
Prideful Gladiator's Scaled Armor,241,2,45894,20,14,13301,0,1,4,50400,5500,0
Prideful Gladiator's Silk Armor,242,128,45895,20,14,13301,0,1,4,50400,5500,0
Prideful Gladiator's Chain Armor,243,4,45896,24,14,13301,0,1,4,50400,5500,0
Prideful Gladiator's Dragonhide Armor,244,1024,45897,24,14,13301,0,1,4,50400,5500,0
Prideful Gladiator's Dreadplate Armor,245,32,45898,24,14,13301,0,1,4,50400,5500,0
Prideful Gladiator's Felweave Armor,246,256,45899,24,14,13301,0,1,4,50400,5500,0
Prideful Gladiator's Ironskin Armor,247,512,45900,24,14,13301,0,1,4,50400,5500,0
Prideful Gladiator's Leather Armor,248,8,46315,24,14,13301,0,1,4,50400,5500,0
Prideful Gladiator's Plate Armor,249,1,45901,24,14,13301,0,1,4,50400,5500,0
Prideful Gladiator's Ringmail Armor,250,64,45903,24,14,13301,0,1,4,50400,5500,0
Prideful Gladiator's Satin Armor,251,16,45907,24,14,13301,0,1,4,50400,5500,0
Prideful Gladiator's Scaled Armor,252,2,45911,24,14,13301,0,1,4,50400,5500,0
Prideful Gladiator's Silk Armor,253,128,45912,24,14,13301,0,1,4,50400,5500,0
Tyrannical Gladiator's Chain Armor,254,4,45935,24,16,13301,0,1,4,50100,4960,0
Tyrannical Gladiator's Dragonhide Armor,255,1024,45936,24,16,13301,0,1,4,50100,4960,0
Tyrannical Gladiator's Dreadplate Armor,256,32,45937,24,16,13301,0,1,4,50100,4960,0
Tyrannical Gladiator's Felweave Armor,257,256,45938,24,16,13301,0,1,4,50100,4960,0
Tyrannical Gladiator's Satin Armor,258,16,45939,24,16,13301,0,1,4,50100,4960,0
Tyrannical Gladiator's Ironskin Armor,259,512,45940,24,16,13301,0,1,4,50100,4960,0
Tyrannical Gladiator's Leather Armor,260,8,45942,24,16,13301,0,1,4,50100,4960,0
Tyrannical Gladiator's Plate Armor,261,1,45943,24,16,13301,0,1,4,50100,4960,0
Tyrannical Gladiator's Ringmail Shaman,262,64,45944,24,16,13301,0,1,4,50100,4960,0
Tyrannical Gladiator's Scaled Armor,263,2,45945,24,16,13301,0,1,4,50100,4960,0
Tyrannical Gladiator's Silk Armor,264,128,45946,24,16,13301,0,1,4,50100,4960,0
Tyrannical Gladiator's Chain Armor,265,4,45947,20,16,13301,0,1,4,50100,4960,0
Tyrannical Gladiator's Dragonhide Armor,266,1024,45948,20,16,13301,0,1,4,50100,4960,0
Tyrannical Gladiator's Dreadplate Armor,267,32,45949,20,16,13301,0,1,4,50100,4960,0
Tyrannical Gladiator's Felweave Armor,268,256,45950,20,16,13301,0,1,4,50100,4960,0
Tyrannical Gladiator's Ironskin Armor,269,512,45951,20,16,13301,0,1,4,50100,4960,0
Tyrannical Gladiator's Leather Armor,270,8,45952,20,16,13301,0,1,4,50100,4960,0
Tyrannical Gladiator's Plate Armor,271,1,45953,20,16,13301,0,1,4,50100,4960,0
Tyrannical Gladiator's Ringmail Armor,272,64,45954,20,16,13301,0,1,4,50100,4960,0
Tyrannical Gladiator's Satin Armor,273,16,45955,20,16,13301,0,1,4,50100,4960,0
Tyrannical Gladiator's Scaled Armor,274,2,45956,20,16,13301,0,1,4,50100,4960,0
Tyrannical Gladiator's Silk Armor,275,128,45957,20,16,13301,0,1,4,50100,4960,0
Malevolent Gladiator's Silk Armor,276,128,45958,16,9,13301,0,1,4,50003,4760,0
Malevolent Gladiator's Scaled Armor,277,2,45959,16,9,13301,0,1,4,50003,4760,0
Malevolent Gladiator's Plate Armor,278,1,45960,16,9,13301,0,1,4,50003,4760,0
Malevolent Gladiator's Ironskin Armor,279,512,0,18,9,3859,1059,1,4,50003,4762,0
Malevolent Gladiator's Leather Armor,280,8,45962,16,9,13301,0,1,4,50003,4760,0
Malevolent Gladiator's Dragonhide Armor,281,1024,45963,16,9,13301,0,1,4,50003,4760,0
Malevolent Gladiator's Satin Armor,282,16,45964,16,9,13301,0,1,4,50003,4760,0
Malevolent Gladiator's Felweave Armor,283,256,45965,16,9,13301,0,1,4,50003,4760,0
Malevolent Gladiator's Ringmail Armor,284,64,45966,16,9,13301,0,1,4,50003,4760,0
Malevolent Gladiator's Dreadplate Armor,285,32,45967,16,9,13301,0,1,4,50003,4760,0
Malevolent Gladiator's Chain Armor,286,4,45968,16,9,13301,0,1,4,50003,4760,0
,287,0,46003,17,0,0,0,1,4,60001,4700,0
,288,0,46004,25,0,0,0,1,4,50200,4980,0
,289,0,46005,21,0,0,0,1,4,50200,4980,0
,290,0,46007,21,0,0,0,1,4,50400,5500,0
,291,0,46009,25,0,0,0,1,4,50400,4980,0
,292,0,46018,25,0,0,0,1,4,50300,5220,0
,293,0,46019,21,0,0,0,1,4,50300,5220,0
Sanctified Ymirjar Lord's Battlegear,298,1,0,0,35,13292,655,1,2,30300,2770,0
Vestments of the Purifier,308,16,0,0,8,13193,0,1,6,70001,8751,0
Vestments of the Purifier,309,16,0,0,8,2015,308,1,6,70001,8752,0
Regalia of the Exorcist,310,16,0,0,10,13193,0,1,4,50200,5220,0
Vestments of the Purifier,311,16,0,0,8,13145,308,1,6,70001,8753,0
Legacy of Azj'Aqir,315,256,0,0,8,13193,0,1,6,70001,8751,0
Legacy of Azj'Aqir,316,256,0,0,8,2015,315,1,6,70001,8752,0
Legacy of Azj'Aqir,321,256,0,0,8,13145,315,1,6,70001,8753,0
Vestments of the Purifier,322,16,0,0,8,1641,308,1,6,70001,8750,0
Attire of Piety,323,16,0,0,28,13193,0,1,5,60200,6950,0
Attire of Piety,324,16,0,0,28,2015,323,1,5,60200,7050,0
Attire of Piety,325,16,0,0,28,13145,323,1,5,60200,7200,0
Soul Priest's Raiment,327,16,0,0,29,13193,0,1,5,60001,6700,0
Windspeaker's Regalia,328,64,0,0,29,2015,418,1,5,60001,6850,0
Soul Priest's Raiment,329,16,0,0,29,13145,327,1,5,60001,7000,0
Regalia of the High Priest,330,16,0,0,49,0,0,1,6,70001,8400,0
Regalia of Ternion Glory,331,16,0,0,30,13193,0,1,4,50400,5400,0
Regalia of Ternion Glory,332,16,0,0,30,13145,331,1,4,50400,5660,0
Regalia of Ternion Glory,333,16,0,0,30,1641,331,1,4,50400,5280,0
Regalia of the Exorcist,334,16,0,0,10,2015,310,1,4,50200,5350,0
Regalia of the Exorcist,335,16,0,0,10,1641,310,1,4,50200,5020,0
Guardian Serpent Regalia,336,16,0,0,31,13193,0,1,4,50003,4960,0
Guardian Serpent Regalia,337,16,0,0,31,1641,336,1,4,50003,4830,0
Regalia of the Firebird,338,64,0,0,31,2015,427,1,4,50003,5090,0
Regalia of Dying Light,339,16,0,0,32,13193,0,1,3,40300,3970,0
Regalia of Dying Light,340,16,0,0,32,1641,339,1,3,40300,3840,0
Regalia of Dying Light,341,16,0,0,32,2015,339,1,3,40300,4100,0
Regalia of the Cleansing Flame,342,16,0,0,33,13193,0,1,3,40200,3780,0
Regalia of the Cleansing Flame,343,16,0,0,33,2015,342,1,3,40200,3910,0
Mercurial Regalia,344,16,0,0,34,13193,0,1,3,40000,3590,0
Mercurial Regalia,345,16,0,0,34,2015,344,1,3,40200,3720,0
Crimson Acolyte Regalia,346,16,0,0,35,13293,0,1,2,30300,2510,0
Sanctified Crimson Acolyte Regalia,347,16,0,0,35,13291,346,1,2,30300,2640,0
Sanctified Crimson Acolyte Regalia,348,16,0,0,35,13292,346,1,2,30300,2770,0
Velen's Regalia,349,16,0,4,36,13293,0,1,2,30200,2320,0
Zabra's Regalia,350,16,0,8,36,13293,0,1,2,30200,2320,0
Absolution Regalia,351,16,0,0,39,13193,0,1,1,20100,1460,0
Vestments of Absolution,352,16,0,0,50,13305,0,1,1,20400,1540,0
Avatar Regalia,353,16,0,0,40,13193,0,1,1,20003,1330,0
Incarnate Regalia,354,16,0,0,41,13193,0,1,1,20000,1200,0
Vestments of Faith,355,16,0,2,42,13193,0,1,0,20000,920,0
Vestments of Transcendence,356,16,0,0,43,13193,0,1,0,10600,760,0
Vestments of Prophecy,357,16,0,0,44,13193,0,1,0,0,660,0
Garments of the Oracle,358,16,0,0,51,13193,0,1,0,10900,880,0
Vestments of the Devout,359,400,0,2,52,13193,0,1,0,0,600,0
Vestments of the Virtuous,360,16,0,2,53,13193,0,1,0,0,650,0
Heroes' Regalia of Faith,361,16,0,0,38,13293,0,1,2,30001,2000,0
